rating,review_count,name,cuisine,price,location/city,location/display_address/0,location/display_address/1,location/country,location/address2,location/address3,location/state,location/address1,location/zip_code,id,location/display_address/2
4.5,241,Chow House,chinese,$$,New York,181 Bleecker St,"New York, NY 10012",US,,,NY,181 Bleecker St,10012,0dDCDQz7DrKkSvu9h2hcQw,
4,1122,Han Dynasty,chinese,$$,New York,90 3rd Ave,"New York, NY 10003",US,,,NY,90 3rd Ave,10003,wfhMIiMh2A2psCGONOVSlg,
4,1384,Café China,chinese,$$,New York,13 E 37th St,"New York, NY 10016",US,,,NY,13 E 37th St,10016,xq0cX_DgxiJMXwhmEl9kUA,
4.5,1179,Wah Fung No 1 Fast Food,chinese,$,New York,79 Chrystie St,"New York, NY 10002",US,,,NY,79 Chrystie St,10002,X8ZS-dgiMIJvhwf9SaDnjw,
4.5,663,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,$,New York,118 Eldridge St,"New York, NY 10002",US,,,NY,118 Eldridge St,10002,lynQoI3w_pzYfHGeuUU-Qg,
4,5693,Joe's Shanghai,chinese,$$,New York,9 Pell St,"New York, NY 10013",US,,,NY,9 Pell St,10013,0CjK3esfpFcxIopebzjFxA,
4,612,China Blue,chinese,$$,New York,135 Watts St,"New York, NY 10013",US,,,NY,135 Watts St,10013,0k678lCWQyReNi0lARlOmw,
4,515,Han Dynasty,chinese,$$,New York,215 W 85th St,"New York, NY 10024",US,,,NY,215 W 85th St,10024,ojbH3wnRu050hRhkmoxRiA,
4.5,235,Clay Pot - East Village,chinese,$$,New York,58 St Mark's Pl,"New York, NY 10003",US,,,NY,58 St Mark's Pl,10003,ZCAkVl5SeCDeBWg_xjfYeg,
4,263,Kings Co Imperial,chinese,$$,Brooklyn,20 Skillman Ave,"Brooklyn, NY 11211",US,,,NY,20 Skillman Ave,11211,vZgJyMZlpSSS_Y-duxd4_A,
4,274,Hunan Delight,chinese,$$,Brooklyn,752 Union St,"Brooklyn, NY 11215",US,,,NY,752 Union St,11215,_XLLSXPIjgoZQtwU3RCcQA,
4,403,21 Shanghai House,chinese,$$,New York,21 Division St,"New York, NY 10002",US,,,NY,21 Division St,10002,ynB8T3htx8s5V0YV8gVPGA,
4.5,494,Fishmarket Restaurant,chinese,$$,New York,111 South St,"New York, NY 10038",US,,,NY,111 South St,10038,LpVbI-E9C-CSp7WhU5h2Iw,
4,951,Noodle Village,chinese,$,New York,13 Mott St,"New York, NY 10013",US,,,NY,13 Mott St,10013,bnDfFdiCcPzhuNWUJORvLQ,
3.5,693,Yaso Tangbao,chinese,$$,Brooklyn,148 Lawrence St,"Brooklyn, NY 11201",US,,,NY,148 Lawrence St,11201,xH7mEjh4Rn6KdHjXYNoOjw,
4,563,Hao Noodle and Tea By Madam Zhu's Kitchen,chinese,$$,New York,401 6th Ave,"New York, NY 10014",US,,,NY,401 6th Ave,10014,scTDvJ2M2jDbb1ntVeIyxA,
4,1644,88 Lan Zhou Handmade Noodle,chinese,$,New York,40 Bowery St,"New York, NY 10013",US,,,NY,40 Bowery St,10013,Lbs8QBRN1U7IYBo5Mcv-RQ,
4.5,97,Xifu Food,chinese,$,Brooklyn,318 Livingston St,"Brooklyn, NY 11217",US,,,NY,318 Livingston St,11217,rPTX2J5KGDkN1QhPD-QOvg,
4,191,Han Dynasty,chinese,$$,Brooklyn,1 Dekalb Ave,"Brooklyn, NY 11201",US,,,NY,1 Dekalb Ave,11201,Q1TpfbuPwKPFrNFyu-u2_g,
4,1493,Shanghai 21,chinese,$$,New York,21 Mott St,"New York, NY 10013",US,,,NY,21 Mott St,10013,R26zweQ8-xoZS7iHkXQOvw,
4,2328,The Smith,chinese,$$,New York,956 2nd Ave,"New York, NY 10022",US,,,NY,956 2nd Ave,10022,C-8mGN7lt5rIraO5n-15ug,
5,7,The Poni Room,chinese,,New York,316 Bowery,"New York, NY 10012",US,,,NY,316 Bowery,10012,63xEppObiNqq_lVE5HGFvw,
4,2219,Bea,chinese,$$,New York,403 W 43rd St,"New York, NY 10036",US,,,NY,403 W 43rd St,10036,Rc1lxc5lSKJYd162JHNMfQ,
4,431,Uglyduckling,chinese,$$,Brooklyn,166 Smith St,"Brooklyn, NY 11201",US,,,NY,166 Smith St,11201,CwOAKJdX8AMz5iAoA-ZEuA,
4.5,19,Crown Shy,chinese,,New York,70 Pine St,"New York, NY 10005",US,,,NY,70 Pine St,10005,_0WFGjXuenlBixOlbSlGeQ,
4.5,84,Valerie,chinese,,New York,45 W 45th St between 5th & 6th Ave,"New York, NY 10036",US,,,NY,45 W 45th St between 5th & 6th Ave,10036,zRXMvxUX_rOliKZPpkWi_g,
4,102,BH Kitchen & Bar,chinese,$$,New York,20 E 49th St,"New York, NY 10017",US,,,NY,20 E 49th St,10017,6MgQz0SEOYUih2N5JOa6rg,
4.5,339,Benson's NYC,chinese,$$,New York,181 Essex St,"New York, NY 10002",US,,,NY,181 Essex St,10002,x7hsZRd_MyrUgAW91FM9qA,
4,3621,Jacob's Pickles,chinese,$$,New York,509 Amsterdam Ave,"New York, NY 10024",US,,,NY,509 Amsterdam Ave,10024,xt4sa64WOrpJvZBDPNPNYg,
4,757,Rabbithole Restaurant,chinese,$$,Brooklyn,352 Bedford Ave,"Brooklyn, NY 11211",US,,,NY,352 Bedford Ave,11211,np98mkA22LYf6kCwCL59pw,
4,408,Tribeca's Kitchen,chinese,$$,New York,200 Church St,"New York, NY 10013",US,,,NY,200 Church St,10013,MHtbBc2np3sR7jiV9GphNg,
4,3032,Jane,chinese,$$,New York,100 W Houston St,"New York, NY 10012",US,,,NY,100 W Houston St,10012,uoT2_Wrt1noD6kZOID7tUg,
4,568,District Social,chinese,$$,New York,252 W 37th St,"New York, NY 10018",US,,,NY,252 W 37th St,10018,eTR6nfHvQzvKX7Dcd6JrfA,
4,47,The Ribbon,chinese,,New York,220 West 44th St,"New York, NY 10036",US,,,NY,220 West 44th St,10036,BQRfaq0U75B5EEblBZ2Aqg,
4,547,Sunday in Brooklyn,chinese,$$,Brooklyn,348 Wythe Ave,"Brooklyn, NY 11249",US,,,NY,348 Wythe Ave,11249,9AXTJkwXdWaJaQkCjpj6mA,
4,2086,Friedman's,chinese,$$,New York,132 W 31st St,"New York, NY 10001",US,,,NY,132 W 31st St,10001,cCesIqo-LQt0cRlZAnrAZQ,
4,1215,Parker & Quinn,chinese,$$,New York,64 W 39th St,"New York, NY 10018",US,,,NY,64 W 39th St,10018,IOHaEgK1zDvUvB3SfKuGCw,
4,973,Brindle Room,chinese,$$,New York,277 E 10th St,"New York, NY 10009",US,,,NY,277 E 10th St,10009,sVG1whNWHhlbjP6p027YcA,
4.5,293,The Brazen Tavern,chinese,$$,New York,356 W 44th St,"New York, NY 10036",US,,,NY,356 W 44th St,10036,Xu8H24NxJJxEE-9wGp_AMA,
4,796,The Smith,chinese,$$,New York,1150 Broadway,"New York, NY 10010",US,,,NY,1150 Broadway,10010,Xd_l7jtUAZZAAvK8-mI2Jw,
4,2328,The Smith,chinese,$$,New York,956 2nd Ave,"New York, NY 10022",US,,,NY,956 2nd Ave,10022,C-8mGN7lt5rIraO5n-15ug,
5,7,The Poni Room,chinese,,New York,316 Bowery,"New York, NY 10012",US,,,NY,316 Bowery,10012,63xEppObiNqq_lVE5HGFvw,
4,2219,Bea,chinese,$$,New York,403 W 43rd St,"New York, NY 10036",US,,,NY,403 W 43rd St,10036,Rc1lxc5lSKJYd162JHNMfQ,
4,431,Uglyduckling,chinese,$$,Brooklyn,166 Smith St,"Brooklyn, NY 11201",US,,,NY,166 Smith St,11201,CwOAKJdX8AMz5iAoA-ZEuA,
4.5,19,Crown Shy,chinese,,New York,70 Pine St,"New York, NY 10005",US,,,NY,70 Pine St,10005,_0WFGjXuenlBixOlbSlGeQ,
4.5,84,Valerie,chinese,,New York,45 W 45th St between 5th & 6th Ave,"New York, NY 10036",US,,,NY,45 W 45th St between 5th & 6th Ave,10036,zRXMvxUX_rOliKZPpkWi_g,
4,102,BH Kitchen & Bar,chinese,$$,New York,20 E 49th St,"New York, NY 10017",US,,,NY,20 E 49th St,10017,6MgQz0SEOYUih2N5JOa6rg,
4.5,339,Benson's NYC,chinese,$$,New York,181 Essex St,"New York, NY 10002",US,,,NY,181 Essex St,10002,x7hsZRd_MyrUgAW91FM9qA,
4,3621,Jacob's Pickles,chinese,$$,New York,509 Amsterdam Ave,"New York, NY 10024",US,,,NY,509 Amsterdam Ave,10024,xt4sa64WOrpJvZBDPNPNYg,
4,757,Rabbithole Restaurant,chinese,$$,Brooklyn,352 Bedford Ave,"Brooklyn, NY 11211",US,,,NY,352 Bedford Ave,11211,np98mkA22LYf6kCwCL59pw,
4,408,Tribeca's Kitchen,chinese,$$,New York,200 Church St,"New York, NY 10013",US,,,NY,200 Church St,10013,MHtbBc2np3sR7jiV9GphNg,
4,3032,Jane,chinese,$$,New York,100 W Houston St,"New York, NY 10012",US,,,NY,100 W Houston St,10012,uoT2_Wrt1noD6kZOID7tUg,
4,568,District Social,chinese,$$,New York,252 W 37th St,"New York, NY 10018",US,,,NY,252 W 37th St,10018,eTR6nfHvQzvKX7Dcd6JrfA,
4,47,The Ribbon,chinese,,New York,220 West 44th St,"New York, NY 10036",US,,,NY,220 West 44th St,10036,BQRfaq0U75B5EEblBZ2Aqg,
4,547,Sunday in Brooklyn,chinese,$$,Brooklyn,348 Wythe Ave,"Brooklyn, NY 11249",US,,,NY,348 Wythe Ave,11249,9AXTJkwXdWaJaQkCjpj6mA,
4,2086,Friedman's,chinese,$$,New York,132 W 31st St,"New York, NY 10001",US,,,NY,132 W 31st St,10001,cCesIqo-LQt0cRlZAnrAZQ,
4,1215,Parker & Quinn,chinese,$$,New York,64 W 39th St,"New York, NY 10018",US,,,NY,64 W 39th St,10018,IOHaEgK1zDvUvB3SfKuGCw,
4,973,Brindle Room,chinese,$$,New York,277 E 10th St,"New York, NY 10009",US,,,NY,277 E 10th St,10009,sVG1whNWHhlbjP6p027YcA,
4.5,293,The Brazen Tavern,chinese,$$,New York,356 W 44th St,"New York, NY 10036",US,,,NY,356 W 44th St,10036,Xu8H24NxJJxEE-9wGp_AMA,
4,796,The Smith,chinese,$$,New York,1150 Broadway,"New York, NY 10010",US,,,NY,1150 Broadway,10010,Xd_l7jtUAZZAAvK8-mI2Jw,
4.5,241,Chow House,chinese,$$,New York,181 Bleecker St,"New York, NY 10012",US,,,NY,181 Bleecker St,10012,0dDCDQz7DrKkSvu9h2hcQw,
4,1122,Han Dynasty,chinese,$$,New York,90 3rd Ave,"New York, NY 10003",US,,,NY,90 3rd Ave,10003,wfhMIiMh2A2psCGONOVSlg,
4,1384,Café China,chinese,$$,New York,13 E 37th St,"New York, NY 10016",US,,,NY,13 E 37th St,10016,xq0cX_DgxiJMXwhmEl9kUA,
4.5,1179,Wah Fung No 1 Fast Food,chinese,$,New York,79 Chrystie St,"New York, NY 10002",US,,,NY,79 Chrystie St,10002,X8ZS-dgiMIJvhwf9SaDnjw,
4.5,663,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,$,New York,118 Eldridge St,"New York, NY 10002",US,,,NY,118 Eldridge St,10002,lynQoI3w_pzYfHGeuUU-Qg,
4,5693,Joe's Shanghai,chinese,$$,New York,9 Pell St,"New York, NY 10013",US,,,NY,9 Pell St,10013,0CjK3esfpFcxIopebzjFxA,
4,612,China Blue,chinese,$$,New York,135 Watts St,"New York, NY 10013",US,,,NY,135 Watts St,10013,0k678lCWQyReNi0lARlOmw,
4,515,Han Dynasty,chinese,$$,New York,215 W 85th St,"New York, NY 10024",US,,,NY,215 W 85th St,10024,ojbH3wnRu050hRhkmoxRiA,
4.5,235,Clay Pot - East Village,chinese,$$,New York,58 St Mark's Pl,"New York, NY 10003",US,,,NY,58 St Mark's Pl,10003,ZCAkVl5SeCDeBWg_xjfYeg,
4,263,Kings Co Imperial,chinese,$$,Brooklyn,20 Skillman Ave,"Brooklyn, NY 11211",US,,,NY,20 Skillman Ave,11211,vZgJyMZlpSSS_Y-duxd4_A,
4,274,Hunan Delight,chinese,$$,Brooklyn,752 Union St,"Brooklyn, NY 11215",US,,,NY,752 Union St,11215,_XLLSXPIjgoZQtwU3RCcQA,
4,403,21 Shanghai House,chinese,$$,New York,21 Division St,"New York, NY 10002",US,,,NY,21 Division St,10002,ynB8T3htx8s5V0YV8gVPGA,
4.5,494,Fishmarket Restaurant,chinese,$$,New York,111 South St,"New York, NY 10038",US,,,NY,111 South St,10038,LpVbI-E9C-CSp7WhU5h2Iw,
4,951,Noodle Village,chinese,$,New York,13 Mott St,"New York, NY 10013",US,,,NY,13 Mott St,10013,bnDfFdiCcPzhuNWUJORvLQ,
3.5,693,Yaso Tangbao,chinese,$$,Brooklyn,148 Lawrence St,"Brooklyn, NY 11201",US,,,NY,148 Lawrence St,11201,xH7mEjh4Rn6KdHjXYNoOjw,
4,563,Hao Noodle and Tea By Madam Zhu's Kitchen,chinese,$$,New York,401 6th Ave,"New York, NY 10014",US,,,NY,401 6th Ave,10014,scTDvJ2M2jDbb1ntVeIyxA,
4,1644,88 Lan Zhou Handmade Noodle,chinese,$,New York,40 Bowery St,"New York, NY 10013",US,,,NY,40 Bowery St,10013,Lbs8QBRN1U7IYBo5Mcv-RQ,
4.5,97,Xifu Food,chinese,$,Brooklyn,318 Livingston St,"Brooklyn, NY 11217",US,,,NY,318 Livingston St,11217,rPTX2J5KGDkN1QhPD-QOvg,
4,191,Han Dynasty,chinese,$$,Brooklyn,1 Dekalb Ave,"Brooklyn, NY 11201",US,,,NY,1 Dekalb Ave,11201,Q1TpfbuPwKPFrNFyu-u2_g,
4,1493,Shanghai 21,chinese,$$,New York,21 Mott St,"New York, NY 10013",US,,,NY,21 Mott St,10013,R26zweQ8-xoZS7iHkXQOvw,
4,2328,The Smith,american,$$,New York,956 2nd Ave,"New York, NY 10022",US,,,NY,956 2nd Ave,10022,C-8mGN7lt5rIraO5n-15ug,
5,7,The Poni Room,american,,New York,316 Bowery,"New York, NY 10012",US,,,NY,316 Bowery,10012,63xEppObiNqq_lVE5HGFvw,
4,2219,Bea,american,$$,New York,403 W 43rd St,"New York, NY 10036",US,,,NY,403 W 43rd St,10036,Rc1lxc5lSKJYd162JHNMfQ,
4,431,Uglyduckling,american,$$,Brooklyn,166 Smith St,"Brooklyn, NY 11201",US,,,NY,166 Smith St,11201,CwOAKJdX8AMz5iAoA-ZEuA,
4.5,19,Crown Shy,american,,New York,70 Pine St,"New York, NY 10005",US,,,NY,70 Pine St,10005,_0WFGjXuenlBixOlbSlGeQ,
4.5,84,Valerie,american,,New York,45 W 45th St between 5th & 6th Ave,"New York, NY 10036",US,,,NY,45 W 45th St between 5th & 6th Ave,10036,zRXMvxUX_rOliKZPpkWi_g,
4,102,BH Kitchen & Bar,american,$$,New York,20 E 49th St,"New York, NY 10017",US,,,NY,20 E 49th St,10017,6MgQz0SEOYUih2N5JOa6rg,
4.5,339,Benson's NYC,american,$$,New York,181 Essex St,"New York, NY 10002",US,,,NY,181 Essex St,10002,x7hsZRd_MyrUgAW91FM9qA,
4,3621,Jacob's Pickles,american,$$,New York,509 Amsterdam Ave,"New York, NY 10024",US,,,NY,509 Amsterdam Ave,10024,xt4sa64WOrpJvZBDPNPNYg,
4,757,Rabbithole Restaurant,american,$$,Brooklyn,352 Bedford Ave,"Brooklyn, NY 11211",US,,,NY,352 Bedford Ave,11211,np98mkA22LYf6kCwCL59pw,
4,408,Tribeca's Kitchen,american,$$,New York,200 Church St,"New York, NY 10013",US,,,NY,200 Church St,10013,MHtbBc2np3sR7jiV9GphNg,
4,3032,Jane,american,$$,New York,100 W Houston St,"New York, NY 10012",US,,,NY,100 W Houston St,10012,uoT2_Wrt1noD6kZOID7tUg,
4,568,District Social,american,$$,New York,252 W 37th St,"New York, NY 10018",US,,,NY,252 W 37th St,10018,eTR6nfHvQzvKX7Dcd6JrfA,
4,47,The Ribbon,american,,New York,220 West 44th St,"New York, NY 10036",US,,,NY,220 West 44th St,10036,BQRfaq0U75B5EEblBZ2Aqg,
4,547,Sunday in Brooklyn,american,$$,Brooklyn,348 Wythe Ave,"Brooklyn, NY 11249",US,,,NY,348 Wythe Ave,11249,9AXTJkwXdWaJaQkCjpj6mA,
4,2086,Friedman's,american,$$,New York,132 W 31st St,"New York, NY 10001",US,,,NY,132 W 31st St,10001,cCesIqo-LQt0cRlZAnrAZQ,
4,1215,Parker & Quinn,american,$$,New York,64 W 39th St,"New York, NY 10018",US,,,NY,64 W 39th St,10018,IOHaEgK1zDvUvB3SfKuGCw,
4,973,Brindle Room,american,$$,New York,277 E 10th St,"New York, NY 10009",US,,,NY,277 E 10th St,10009,sVG1whNWHhlbjP6p027YcA,
4.5,293,The Brazen Tavern,american,$$,New York,356 W 44th St,"New York, NY 10036",US,,,NY,356 W 44th St,10036,Xu8H24NxJJxEE-9wGp_AMA,
4,796,The Smith,american,$$,New York,1150 Broadway,"New York, NY 10010",US,,,NY,1150 Broadway,10010,Xd_l7jtUAZZAAvK8-mI2Jw,
4.5,670,La Contenta,mexican,$$,New York,102 Norfolk St,"New York, NY 10002",US,,,NY,102 Norfolk St,10002,6Ct7OeTRn4caY9g0swFBsw,
4,1761,Toloache 50,mexican,$$,New York,251 West 50th St,"New York, NY 10012",US,,,NY,251 West 50th St,10012,Wx6lMnEh7dCmX-9PQF1Ifw,
4,1069,Barrio Chino,mexican,$$,New York,253 Broome St,"New York, NY 10002",US,,,NY,253 Broome St,10002,RzKR9QcYP03EQ_8DxTxowg,
4.5,636,Jajaja,mexican,$$,New York,162 E Broadway,"New York, NY 10002",US,,,NY,162 E Broadway,10002,XipQLDbyTl5tsLlyzAWzug,
4,608,Rosie's,mexican,$$,New York,29 E 2nd St,"New York, NY 10003",US,,,NY,29 E 2nd St,10003,9aJ1MVTthZw3QjqoG7mPjg,
4,289,La Loteria,mexican,$$,New York,29 7th Ave S,"New York, NY 10014",US,,,NY,29 7th Ave S,10014,pG-IkylRFOb-HlaD8NwvvQ,
4,885,Mamasita Bar & Grill,mexican,$$,New York,818 10th Ave,"New York, NY 10019",US,,,NY,818 10th Ave,10019,xemN4tP9RlK5c-yUT-M71Q,
4,123,Toro Loco,mexican,$$,New York,15 Stone St,"New York, NY 10004",US,,,NY,15 Stone St,10004,nrwOQSXoRXfAYhkdjiUk8g,
4.5,309,Don Chingon,mexican,$$,Brooklyn,216 Flatbush Ave,"Brooklyn, NY 11217",US,,,NY,216 Flatbush Ave,11217,X2C0_I0seTtjW9uL8e8FBw,
4,646,El Camion,mexican,$$,New York,194 Ave A,"New York, NY 10009",US,,,NY,194 Ave A,10009,BbMUXd69i0tlWS2aoppwaQ,
5,15,Metro Taco,mexican,,Queens,102-15 Metropolitan Ave,"Queens, NY 11375",US,,,NY,102-15 Metropolitan Ave,11375,MhGjWgAFFyb6QMwUIkhpBQ,
4,557,Calexico,mexican,$$,New York,1491 2nd Ave,"New York, NY 10075",US,,,NY,1491 2nd Ave,10075,7bD22UAtH56ikWYslOSIQg,
3.5,440,Gran Electrica,mexican,$$,Brooklyn,5 Front St,"Brooklyn, NY 11201",US,,,NY,5 Front St,11201,f7g3GhoQs9nQVTJEL2p48Q,
4,415,Toloache Thompson,mexican,$$,New York,205 Thompson St,"New York, NY 10012",US,,,NY,205 Thompson St,10012,_Kc_mFOk7zMPDcDhkdJE7A,
4,913,Ofrenda,mexican,$$,New York,113 7th Ave S,"New York, NY 10014",US,,,NY,113 7th Ave S,10014,9_CEU7Wmvmwlyvqr-PJD6w,
4.5,257,Chela Modern Mexican,mexican,$$,Brooklyn,408 5th Ave,"Brooklyn, NY 11215",US,,,NY,408 5th Ave,11215,CfOBb6NU2awo8xclJpKU3g,
4,726,Mesa Coyoacan,mexican,$$,Brooklyn,372 Graham Ave,"Brooklyn, NY 11211",US,,,NY,372 Graham Ave,11211,mmAlHhnTDXIohPC3wfl0hQ,
3.5,816,Mad Dog & Beans Mexican Cantina,mexican,$$,New York,83 Pearl St,"New York, NY 10004",US,,,NY,83 Pearl St,10004,DTKKEogIt2wQm4UULYVGug,
4,560,Tacuba Hell's Kitchen,mexican,$$,New York,802 9th Ave,"New York, NY 10019",US,,,NY,802 9th Ave,10019,ihzI-4yGesoQuAoIocao8g,
4,39,Ojala Comida Mexicana,mexican,,Brooklyn,413 Myrtle Ave,"Brooklyn, NY 11205",US,,,NY,413 Myrtle Ave,11205,_B0NHhM3GmirV68XE5csSA,
4,1285,Ootoya Chelsea,japanese,$$,New York,8 W 18th St,"New York, NY 10011",US,,,NY,8 W 18th St,10011,OLSSJIp8pu5UlugTF7tuHA,
4.5,469,Benemon,japanese,$$,New York,108 E 4th St,"New York, NY 10003",US,,,NY,108 E 4th St,10003,axqp3pGJXnTLgq2QrPyDyQ,
4.5,848,Raku,japanese,$$,New York,342 E 6th St,"New York, NY 10003",US,,,NY,342 E 6th St,10003,FlZ1zdVEKWv7dwqm8Uw8-w,
4,2021,Izakaya MEW,japanese,$$,New York,53 W 35th St,"New York, NY 10001",US,,,NY,53 W 35th St,10001,klAhw3xLQi9GF1tf_HnS7w,
4,1705,Sakagura,japanese,$$$,New York,211 E 43rd St,"New York, NY 10017",US,,,NY,211 E 43rd St,10017,7iY35991NhQ1AShJZCNZgA,
4.5,824,DOMODOMO,japanese,$$$,New York,140 W Houston St,"New York, NY 10012",US,,,NY,140 W Houston St,10012,BPZfuPvSxCfoppU4lPFm0Q,
4.5,279,nonono,japanese,$$,New York,118 Madison Ave,"New York, NY 10016",US,,,NY,118 Madison Ave,10016,qm1J_dPA5IHij1oAnoZwHw,
5,5,ichiba kitchen,japanese,,Brooklyn,196 Smith St,"Brooklyn, NY 11201",US,,,NY,196 Smith St,11201,skhPdP1hEmyZzaJMpP_wIQ,
4.5,415,Okonomi,japanese,$$,Brooklyn,150 Ainslie St,"Brooklyn, NY 11211",US,,,NY,150 Ainslie St,11211,7OMGEtFWT6sdd9TVuoGqJQ,
